province,school,year,track,top_gender,top_score,note
湖南,慈利一中,2000,文,F,675,含加分;总分状元;录取北大；性别=初筛确认(2026-08-09)
湖南,澧县一中,2000,文,F,651,女(原文'她');裸分状元;语137数136外128政126史124;录取北大经院
湖南,湘潭大学子弟学校,2000,外,M,638,男(原文'他');语116数136英136政130史120;录取北大外国语德语
湖南,衡阳八中,2001,理,NA,688,录取清华
湖南,衡东一中,2001,文,F,668,女(原文'她');录取北大光华
湖南,涟源一中,2002,理,NA,719,含加分20裸分699;总分状元;录取清华
湖南,华容一中,2002,理,M,703,男(原文'他');裸分状元;语126数146外137综294;录取北大
湖南,湘乡一中,2002,文,NA,666,语130数134外133综269;录取北大
湖南,桃源一中,2003,理,M,689,含加分30裸分659;总分状元；性别=初筛确认(2026-08-09)
湖南,涟源行知中学,2003,理,M,661,男(原文'他');裸分状元;语121数144英126综270;录取清华
湖南,湘潭县一中,2003,文,F,696,女(原文'她');含加分10裸分686;语132数148外134综272;录取北大
湖南,桑植一中,2004,理,M,723,男(原文'他');含加分30裸分693;语127数142英132综292;录取清华电子
湖南,长郡中学,2004,文,M,697,男(原文'他');含加分10裸分687;语120数149英142综276;录取北大
湖南,常宁一中,2005,理,M,716,男(原文'他');含加分20裸分696;语127数139英138综292;录取清华数理基础
湖南,湘西民族中学,2005,文,F,701,女;含加分20裸分681;总分状元;录取北大元培
湖南,衡阳实验中学,2005,文,M,682,男(原文'他');裸分状元;语118数146英136综282;录取北大光华
湖南,郴州一中,2006,理,M,707,男(原文'他');含加分20裸分687;语128数141英139综279;录取北大
湖南,怀化铁一中,2006,文,F,696,女;含加分20裸分676;总分状元;录取北大
湖南,雅礼中学,2006,文,F,692,女(原文'她');裸分状元;语127数140英139综286;录取清华外语
湖南,湖南师大附中,2007,理,F,707,女(原文'她');含加分20裸分687;语126数144外137综280;录取清华
湖南,湖南师大附中,2007,文,F,673,女;含加分20裸分653;总分状元;录取北大
湖南,长郡中学,2007,文,F,658,女(原文'她');裸分状元;语122数136英132综268;录取北大
湖南,长郡中学,2007,文,F,658,女(原文'她');裸分状元并列;语134数129英140综255;录取港大
湖南,郴州一中,2008,理,M,709,含加分20裸分689;录取北大；性别=初筛确认(2026-08-09)
湖南,湘西民族中学,2008,文,F,687,女(原文'她');含加分20裸分667;语130数141英134综262;录取北大
湖南,慈利一中,2009,理,F,702,女(原文'她');含加分20裸分682;语125数139英142综276;录取清华
湖南,怀化铁一中,2009,文,NA,672,含加分20裸分652;总分状元
湖南,石门一中,2009,文,NA,654,裸分状元;录取北大
湖南,湖南师大附中,2010,理,NA,710,含加分20裸分690;总分状元;录取清华
湖南,雅礼中学,2010,理,F,695,女(原文'她');裸分状元;语121数142英144综288;录取北大
湖南,岳阳市一中,2010,文,NA,670,含加分15裸分655;总分状元;录取清华
