province,year,track,name_anon,gender,total_score,high_school,hs_city,is_tie,is_bonus_adj,college,note
湖南,2013,理,刘*,M,684,耒阳正源中学,NA,0,0,清华,男(原文'他');裸分状元;语115数141英143综285;录取清华
湖南,2013,文,周*,NA,682,湘钢一中,NA,0,1,北大光华,含加分20裸分662;语124数145英142综251;录取北大光华
湖南,2014,理,宋*,M,723,安乡一中,NA,0,1,清华,男(原文'他');含加分15裸分708;语126数142英146综294;录取清华
湖南,2014,文,陈*,M,691,吉首一中,NA,0,1,北大,含加分20裸分671;总分状元;录取北大
湖南,2014,文,陈*,F,684,衡阳八中,NA,0,0,清华外文,女(原文'她');裸分状元;录取清华外文
湖南,2015,理,孙*,M,718,湖南师大附中,NA,0,0,清华,男(原文'他');语133数148英147综290;录取清华
湖南,2015,文,顾*,F,680,桑植一中,NA,0,1,北大,含加分20裸分660;语134数135外146综245;录取北大
湖南,2016,理,杨*,M,708,长郡中学,NA,0,1,北大,男(原文'他');含加分20裸分688;总分状元;语118数140英139综291;录取北大
湖南,2016,理,仇*,M,704,邵东一中,NA,0,0,北大光华,男(原文'他');裸分状元;语124数140英147综293;录取北大光华
湖南,2016,文,李*,F,666,永顺一中,NA,0,1,清华,女(原文'她');含加分20裸分646;总分状元;语120数134英139综253;录取清华
湖南,2016,文,张*,F,655,浏阳田家炳实验中学,NA,0,0,北大,女(原文'她');裸分状元;语122数141英143综249;录取北大
湖南,2017,理,李*,M,703,双峰一中,NA,0,0,清华,男(原文'他');语129数147英141综286;录取清华
湖南,2017,文,刘*,NA,683,会同一中,NA,0,1,NA,含加分10裸分673;总分状元;语128数142外135综268
